iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	25	0.001	754
2	50	0.002	754
3	75	0.003	802
4	100	0.003	802
5	125	0.004	871
6	150	0.006	871
7	175	0.007	871
8	200	0.009	871
9	225	0.01	871
10	250	0.013	871
11	275	0.014	871
12	300	0.016	871
13	325	0.018	871
14	350	0.02	871
15	375	0.021	871
16	400	0.022	871
17	425	0.024	871
18	450	0.025	871
19	475	0.027	871
20	500	0.028	871
21	525	0.03	871
22	550	0.031	908
23	575	0.033	908
24	600	0.034	908
25	625	0.036	908
26	650	0.037	908
27	675	0.039	908
28	700	0.041	908
29	725	0.042	908
30	750	0.044	908
31	775	0.045	908
32	800	0.047	928
33	825	0.048	928
34	850	0.05	928
35	875	0.052	928
36	900	0.053	928
37	925	0.055	929
38	950	0.056	929
39	975	0.057	929
40	1000	0.059	929
41	1025	0.06	929
42	1050	0.062	929
43	1075	0.063	929
44	1100	0.065	929
45	1125	0.066	929
46	1150	0.068	929
47	1175	0.069	929
48	1200	0.071	929
49	1225	0.073	929
50	1250	0.074	929
51	1275	0.076	929
52	1300	0.078	929
53	1325	0.079	929
54	1350	0.081	929
55	1375	0.082	929
56	1400	0.084	953
57	1425	0.086	953
58	1450	0.087	953
59	1475	0.088	953
60	1500	0.093	953
61	1525	0.094	953
62	1550	0.096	953
63	1575	0.097	953
64	1600	0.099	953
65	1625	0.1	953
66	1650	0.102	953
67	1675	0.103	953
68	1700	0.104	953
69	1725	0.106	953
70	1750	0.107	953
71	1775	0.108	953
72	1800	0.11	953
73	1825	0.111	953
74	1850	0.113	953
75	1875	0.114	953
76	1900	0.116	978
77	1925	0.117	978
78	1950	0.119	978
79	1975	0.12	978
80	2000	0.122	978
81	2025	0.123	978
82	2050	0.125	978
83	2075	0.126	978
84	2100	0.128	978
85	2125	0.13	978
86	2150	0.131	978
87	2175	0.133	978
88	2200	0.135	978
89	2225	0.136	978
90	2250	0.138	978
91	2275	0.139	978
92	2300	0.141	978
93	2325	0.142	978
94	2350	0.144	978
95	2375	0.145	978
96	2400	0.146	978
97	2425	0.148	978
98	2450	0.149	978
99	2475	0.151	978
100	2500	0.152	978
101	2525	0.154	978
102	2550	0.155	978
103	2575	0.157	978
104	2600	0.158	978
105	2625	0.16	978
106	2650	0.161	978
107	2675	0.163	978
108	2700	0.165	978
109	2725	0.166	978
110	2750	0.168	978
111	2775	0.169	978
112	2800	0.171	978
113	2825	0.172	978
114	2850	0.174	978
115	2875	0.175	978
116	2900	0.177	978
117	2925	0.178	978
118	2950	0.18	978
119	2975	0.181	978
120	3000	0.183	978
121	3025	0.184	978
122	3050	0.186	978
123	3075	0.187	978
124	3100	0.189	978
125	3125	0.19	978
126	3150	0.192	978
127	3175	0.193	978
128	3200	0.195	978
129	3225	0.196	978
130	3250	0.198	978
131	3275	0.199	978
132	3300	0.2	978
133	3325	0.202	978
134	3350	0.203	978
135	3375	0.205	978
136	3400	0.206	978
137	3425	0.207	978
138	3450	0.209	978
139	3475	0.21	978
140	3500	0.212	978
141	3525	0.213	978
142	3550	0.214	978
143	3575	0.216	978
144	3600	0.217	978
145	3625	0.218	978
146	3650	0.22	978
147	3675	0.222	978
148	3700	0.223	978
149	3725	0.224	978
150	3750	0.226	1005
151	3775	0.227	1005
152	3800	0.228	1005
153	3825	0.23	1005
154	3850	0.231	1005
155	3875	0.232	1005
156	3900	0.234	1005
157	3925	0.235	1005
158	3950	0.236	1005
159	3975	0.238	1005
160	4000	0.239	1005
161	4025	0.24	1005
162	4050	0.242	1005
163	4075	0.243	1005
164	4100	0.244	1005
165	4125	0.246	1005
166	4150	0.247	1005
167	4175	0.249	1005
168	4200	0.25	1005
169	4225	0.251	1005
170	4250	0.253	1005
171	4275	0.254	1005
172	4300	0.255	1009
173	4325	0.257	1009
174	4350	0.258	1009
175	4375	0.259	1009
176	4400	0.26	1009
177	4425	0.262	1009
178	4450	0.263	1009
179	4475	0.264	1009
180	4500	0.265	1009
181	4525	0.266	1009
182	4550	0.267	1009
183	4575	0.268	1009
184	4600	0.269	1009
185	4625	0.27	1009
186	4650	0.271	1009
187	4675	0.272	1009
188	4700	0.273	1009
189	4725	0.275	1009
190	4750	0.278	1009
191	4775	0.279	1009
192	4800	0.28	1009
193	4825	0.281	1009
194	4850	0.282	1009
195	4875	0.283	1009
196	4900	0.284	1009
197	4925	0.285	1009
198	4950	0.287	1009
199	4975	0.288	1009
200	5000	0.289	1009
201	5025	0.29	1009
202	5050	0.292	1009
203	5075	0.293	1009
204	5100	0.294	1009
205	5125	0.295	1009
206	5150	0.296	1009
207	5175	0.297	1009
208	5200	0.298	1017
209	5225	0.299	1017
210	5250	0.301	1017
211	5275	0.302	1017
212	5300	0.303	1017
213	5325	0.304	1017
214	5350	0.306	1017
215	5375	0.307	1017
216	5400	0.308	1017
217	5425	0.31	1017
218	5450	0.312	1017
219	5475	0.313	1017
220	5500	0.314	1017
221	5525	0.316	1017
222	5550	0.317	1017
223	5575	0.319	1017
224	5600	0.32	1017
225	5625	0.322	1017
226	5650	0.323	1017
227	5675	0.324	1017
228	5700	0.326	1017
229	5725	0.327	1017
230	5750	0.329	1017
231	5775	0.33	1017
232	5800	0.331	1017
233	5825	0.333	1017
234	5850	0.334	1017
235	5875	0.335	1017
236	5900	0.337	1017
237	5925	0.338	1017
238	5950	0.34	1017
239	5975	0.341	1017
240	6000	0.342	1017
241	6025	0.344	1017
242	6050	0.345	1017
243	6075	0.347	1017
244	6100	0.348	1017
245	6125	0.35	1017
246	6150	0.351	1017
247	6175	0.353	1017
248	6200	0.354	1017
249	6225	0.356	1017
250	6250	0.357	1017
251	6275	0.358	1017
252	6300	0.36	1017
253	6325	0.361	1017
254	6350	0.362	1017
255	6375	0.363	1017
256	6400	0.365	1017
257	6425	0.366	1017
258	6450	0.367	1017
259	6475	0.369	1017
260	6500	0.37	1017
261	6525	0.371	1017
262	6550	0.372	1017
263	6575	0.373	1017
264	6600	0.375	1021
265	6625	0.376	1021
266	6650	0.377	1021
267	6675	0.378	1021
268	6700	0.379	1021
269	6725	0.381	1021
270	6750	0.382	1023
271	6775	0.383	1023
272	6800	0.386	1023
273	6825	0.387	1023
274	6850	0.388	1023
275	6875	0.39	1023
276	6900	0.391	1023
277	6925	0.393	1023
278	6950	0.395	1023
279	6975	0.396	1023
280	7000	0.397	1023
281	7025	0.398	1023
282	7050	0.4	1023
283	7075	0.402	1031
284	7100	0.403	1031
285	7125	0.404	1031
286	7150	0.405	1031
287	7175	0.406	1031
288	7200	0.407	1031
289	7225	0.408	1031
290	7250	0.409	1031
291	7275	0.41	1031
292	7300	0.412	1031
293	7325	0.413	1031
294	7350	0.414	1031
295	7375	0.415	1031
296	7400	0.416	1031
297	7425	0.417	1031
298	7450	0.418	1031
299	7475	0.42	1031
300	7500	0.421	1031
301	7525	0.422	1031
302	7550	0.423	1031
303	7575	0.424	1031
304	7600	0.425	1031
305	7625	0.426	1031
306	7650	0.427	1031
307	7675	0.428	1031
308	7700	0.429	1031
309	7725	0.43	1031
310	7750	0.432	1031
311	7775	0.433	1031
312	7800	0.434	1031
313	7825	0.435	1031
314	7850	0.436	1031
315	7875	0.438	1031
316	7900	0.439	1031
317	7925	0.44	1031
318	7950	0.441	1031
319	7975	0.443	1031
320	8000	0.444	1031
321	8025	0.445	1031
322	8050	0.447	1031
323	8075	0.448	1031
324	8100	0.449	1031
325	8125	0.451	1031
326	8150	0.452	1031
327	8175	0.453	1031
328	8200	0.455	1031
329	8225	0.456	1031
330	8250	0.457	1031
331	8275	0.459	1031
332	8300	0.46	1031
333	8325	0.461	1031
334	8350	0.462	1031
335	8375	0.463	1031
336	8400	0.464	1031
337	8425	0.465	1031
338	8450	0.466	1031
339	8475	0.467	1031
340	8500	0.468	1031
341	8525	0.469	1031
342	8550	0.47	1031
343	8575	0.471	1031
344	8600	0.472	1031
345	8625	0.473	1031
346	8650	0.474	1031
347	8675	0.475	1031
348	8700	0.476	1031
349	8725	0.477	1031
350	8750	0.478	1031
351	8775	0.479	1031
352	8800	0.48	1031
353	8825	0.481	1031
354	8850	0.482	1031
355	8875	0.483	1031
356	8900	0.484	1031
357	8925	0.485	1031
358	8950	0.486	1031
359	8975	0.487	1031
360	9000	0.49	1031
361	9025	0.491	1031
362	9050	0.492	1031
363	9075	0.493	1031
364	9100	0.494	1031
365	9125	0.495	1031
366	9150	0.496	1031
367	9175	0.497	1031
368	9200	0.498	1031
369	9225	0.499	1031
370	9250	0.5	1031
371	9275	0.501	1031
372	9300	0.502	1031
373	9325	0.503	1031
374	9350	0.504	1031
375	9375	0.504	1031
376	9400	0.505	1031
377	9425	0.506	1031
378	9450	0.507	1031
379	9475	0.508	1031
380	9500	0.509	1031
381	9525	0.51	1031
382	9550	0.511	1031
383	9575	0.512	1031
384	9600	0.513	1031
385	9625	0.514	1031
386	9650	0.515	1031
387	9675	0.516	1031
388	9700	0.517	1031
389	9725	0.518	1031
390	9750	0.519	1031
391	9775	0.52	1031
392	9800	0.521	1031
393	9825	0.522	1031
394	9850	0.523	1031
395	9875	0.524	1031
396	9900	0.525	1031
397	9925	0.526	1031
398	9950	0.527	1031
399	9975	0.528	1031
400	10000	0.529	1031
401	10025	0.53	1031
402	10050	0.531	1031
403	10075	0.532	1031
404	10100	0.533	1031
405	10125	0.534	1031
406	10150	0.535	1031
407	10175	0.535	1031
408	10200	0.536	1031
409	10225	0.537	1031
410	10250	0.538	1031
411	10275	0.539	1031
412	10300	0.54	1031
413	10325	0.541	1031
414	10350	0.542	1031
415	10375	0.543	1031
416	10400	0.544	1031
417	10425	0.545	1031
418	10450	0.546	1031
419	10475	0.547	1031
420	10500	0.548	1031
421	10525	0.549	1031
422	10550	0.55	1031
423	10575	0.551	1031
424	10600	0.552	1031
425	10625	0.553	1031
426	10650	0.554	1031
427	10675	0.555	1031
428	10700	0.556	1031
429	10725	0.557	1031
430	10750	0.558	1031
431	10775	0.559	1031
432	10800	0.56	1031
433	10825	0.561	1031
434	10850	0.562	1031
435	10875	0.563	1031
436	10900	0.564	1031
437	10925	0.565	1031
438	10950	0.566	1031
439	10975	0.567	1031
440	11000	0.568	1031
441	11025	0.569	1031
442	11050	0.57	1031
443	11075	0.571	1031
444	11100	0.572	1031
445	11125	0.573	1035
446	11150	0.574	1035
447	11175	0.575	1035
448	11200	0.576	1035
449	11225	0.577	1035
450	11250	0.578	1035
451	11275	0.579	1035
452	11300	0.58	1035
453	11325	0.581	1035
454	11350	0.582	1035
455	11375	0.583	1035
456	11400	0.584	1035
457	11425	0.585	1035
458	11450	0.586	1035
459	11475	0.587	1035
460	11500	0.588	1035
461	11525	0.589	1035
462	11550	0.59	1035
463	11575	0.591	1035
464	11600	0.592	1035
465	11625	0.593	1035
466	11650	0.594	1035
467	11675	0.595	1035
468	11700	0.596	1035
469	11725	0.598	1035
470	11750	0.599	1035
471	11775	0.6	1035
472	11800	0.6	1035
473	11825	0.601	1035
474	11850	0.602	1035
475	11875	0.604	1035
476	11900	0.605	1035
477	11925	0.606	1035
478	11950	0.607	1035
479	11975	0.608	1035
480	12000	0.609	1035
481	12025	0.61	1035
482	12050	0.611	1035
483	12075	0.612	1035
484	12100	0.613	1035
485	12125	0.613	1035
486	12150	0.614	1035
487	12175	0.615	1035
488	12200	0.616	1035
489	12225	0.618	1035
490	12250	0.619	1035
491	12275	0.62	1035
492	12300	0.621	1035
493	12325	0.622	1035
494	12350	0.623	1035
495	12375	0.624	1035
496	12400	0.625	1035
497	12425	0.626	1035
498	12450	0.627	1035
499	12475	0.628	1035
500	12500	0.629	1035
501	12525	0.63	1035
502	12550	0.631	1035
503	12575	0.632	1035
504	12600	0.633	1035
505	12625	0.634	1035
506	12650	0.635	1035
507	12675	0.636	1035
508	12700	0.637	1035
509	12725	0.638	1035
510	12750	0.639	1035
511	12775	0.64	1035
512	12800	0.641	1035
513	12825	0.642	1035
514	12850	0.643	1035
515	12875	0.644	1035
516	12900	0.645	1035
517	12925	0.647	1035
518	12950	0.648	1035
519	12975	0.649	1035
520	13000	0.65	1035
521	13025	0.651	1035
522	13050	0.653	1035
523	13075	0.654	1035
524	13100	0.655	1035
525	13125	0.656	1035
526	13150	0.657	1035
527	13175	0.658	1035
528	13200	0.659	1035
529	13225	0.661	1035
530	13250	0.662	1035
531	13275	0.663	1035
532	13300	0.665	1035
533	13325	0.666	1035
534	13350	0.667	1035
535	13375	0.668	1035
536	13400	0.67	1035
537	13425	0.671	1035
538	13450	0.672	1035
539	13475	0.673	1035
540	13500	0.674	1035
541	13525	0.676	1035
542	13550	0.677	1035
543	13575	0.678	1035
544	13600	0.679	1035
545	13625	0.68	1035
