iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	25	0.0	815
2	50	0.001	815
3	75	0.002	815
4	100	0.003	815
5	125	0.004	815
6	150	0.006	846
7	175	0.008	846
8	200	0.01	846
9	225	0.012	846
10	250	0.013	846
11	275	0.016	846
12	300	0.017	856
13	325	0.019	867
14	350	0.021	867
15	375	0.022	867
16	400	0.024	867
17	425	0.026	867
18	450	0.028	867
19	475	0.029	867
20	500	0.031	867
21	525	0.032	867
22	550	0.034	867
23	575	0.036	867
24	600	0.037	871
25	625	0.039	878
26	650	0.041	878
27	675	0.042	878
28	700	0.044	878
29	725	0.046	907
30	750	0.047	907
31	775	0.049	907
32	800	0.051	907
33	825	0.052	915
34	850	0.054	915
35	875	0.055	915
36	900	0.057	933
37	925	0.058	933
38	950	0.06	933
39	975	0.062	933
40	1000	0.063	933
41	1025	0.064	933
42	1050	0.066	933
43	1075	0.068	933
44	1100	0.07	933
45	1125	0.071	933
46	1150	0.073	933
47	1175	0.074	933
48	1200	0.076	933
49	1225	0.077	933
50	1250	0.079	933
51	1275	0.081	933
52	1300	0.083	933
53	1325	0.085	933
54	1350	0.086	933
55	1375	0.088	933
56	1400	0.089	933
57	1425	0.091	936
58	1450	0.092	936
59	1475	0.094	936
60	1500	0.095	936
61	1525	0.097	936
62	1550	0.098	936
63	1575	0.1	936
64	1600	0.101	969
65	1625	0.103	969
66	1650	0.104	969
67	1675	0.106	969
68	1700	0.108	969
69	1725	0.109	969
70	1750	0.111	969
71	1775	0.112	969
72	1800	0.114	969
73	1825	0.115	969
74	1850	0.122	969
75	1875	0.124	969
76	1900	0.125	969
77	1925	0.127	969
78	1950	0.128	969
79	1975	0.129	969
80	2000	0.131	969
81	2025	0.132	969
82	2050	0.134	969
83	2075	0.135	969
84	2100	0.137	969
85	2125	0.138	969
86	2150	0.14	969
87	2175	0.141	969
88	2200	0.142	975
89	2225	0.144	975
90	2250	0.145	975
91	2275	0.147	975
92	2300	0.148	975
93	2325	0.15	999
94	2350	0.151	999
95	2375	0.153	999
96	2400	0.154	999
97	2425	0.155	999
98	2450	0.157	999
99	2475	0.159	999
100	2500	0.161	999
101	2525	0.162	999
102	2550	0.164	999
103	2575	0.165	999
104	2600	0.167	999
105	2625	0.168	999
106	2650	0.17	999
107	2675	0.171	999
108	2700	0.173	999
109	2725	0.175	999
110	2750	0.176	999
111	2775	0.178	999
112	2800	0.179	999
113	2825	0.181	999
114	2850	0.182	999
115	2875	0.184	999
116	2900	0.185	999
117	2925	0.187	999
118	2950	0.188	999
119	2975	0.19	999
120	3000	0.191	999
121	3025	0.193	999
122	3050	0.194	999
123	3075	0.196	999
124	3100	0.197	999
125	3125	0.198	999
126	3150	0.2	999
127	3175	0.201	999
128	3200	0.203	999
129	3225	0.204	999
130	3250	0.206	999
131	3275	0.207	999
132	3300	0.209	999
133	3325	0.21	999
134	3350	0.211	999
135	3375	0.213	999
136	3400	0.214	999
137	3425	0.216	999
138	3450	0.217	999
139	3475	0.219	999
140	3500	0.22	999
141	3525	0.222	999
142	3550	0.223	999
143	3575	0.224	999
144	3600	0.226	999
145	3625	0.227	999
146	3650	0.229	999
147	3675	0.23	999
148	3700	0.232	999
149	3725	0.233	999
150	3750	0.235	999
151	3775	0.236	999
152	3800	0.237	1006
153	3825	0.239	1006
154	3850	0.24	1006
155	3875	0.241	1006
156	3900	0.243	1006
157	3925	0.244	1006
158	3950	0.246	1006
159	3975	0.247	1006
160	4000	0.249	1006
161	4025	0.25	1006
162	4050	0.252	1006
163	4075	0.253	1014
164	4100	0.254	1014
165	4125	0.256	1014
166	4150	0.257	1014
167	4175	0.259	1014
168	4200	0.26	1014
169	4225	0.261	1014
170	4250	0.263	1014
171	4275	0.264	1014
172	4300	0.265	1014
173	4325	0.267	1014
174	4350	0.268	1014
175	4375	0.269	1014
176	4400	0.27	1014
177	4425	0.271	1014
178	4450	0.273	1014
179	4475	0.274	1014
180	4500	0.275	1014
181	4525	0.276	1014
182	4550	0.277	1014
183	4575	0.278	1014
184	4600	0.28	1014
185	4625	0.281	1014
186	4650	0.282	1014
187	4675	0.283	1014
188	4700	0.285	1014
189	4725	0.286	1014
190	4750	0.288	1014
191	4775	0.289	1014
192	4800	0.291	1014
193	4825	0.292	1020
194	4850	0.293	1020
195	4875	0.295	1020
196	4900	0.296	1020
197	4925	0.298	1020
198	4950	0.299	1020
199	4975	0.3	1020
200	5000	0.302	1020
201	5025	0.303	1020
202	5050	0.305	1020
203	5075	0.306	1020
204	5100	0.308	1027
205	5125	0.31	1027
206	5150	0.311	1027
207	5175	0.312	1027
208	5200	0.314	1027
209	5225	0.315	1027
210	5250	0.316	1027
211	5275	0.318	1027
212	5300	0.319	1027
213	5325	0.32	1027
214	5350	0.322	1027
215	5375	0.323	1027
216	5400	0.325	1027
217	5425	0.326	1027
218	5450	0.327	1027
219	5475	0.329	1027
220	5500	0.33	1027
221	5525	0.332	1027
222	5550	0.333	1027
223	5575	0.334	1027
224	5600	0.336	1027
225	5625	0.337	1027
226	5650	0.338	1027
227	5675	0.339	1027
228	5700	0.34	1027
229	5725	0.342	1027
230	5750	0.343	1027
231	5775	0.344	1027
232	5800	0.345	1027
233	5825	0.346	1027
234	5850	0.348	1027
235	5875	0.349	1027
236	5900	0.35	1027
237	5925	0.351	1027
238	5950	0.353	1027
239	5975	0.354	1027
240	6000	0.355	1027
241	6025	0.356	1027
242	6050	0.357	1027
243	6075	0.359	1027
244	6100	0.363	1027
245	6125	0.365	1027
246	6150	0.366	1027
247	6175	0.367	1027
248	6200	0.369	1027
249	6225	0.37	1027
250	6250	0.371	1027
251	6275	0.373	1027
252	6300	0.374	1027
253	6325	0.376	1027
254	6350	0.377	1027
255	6375	0.378	1027
256	6400	0.379	1027
257	6425	0.381	1027
258	6450	0.382	1027
259	6475	0.384	1027
260	6500	0.385	1027
261	6525	0.386	1027
262	6550	0.388	1027
263	6575	0.389	1029
264	6600	0.39	1029
265	6625	0.392	1029
266	6650	0.393	1029
267	6675	0.394	1029
268	6700	0.396	1029
269	6725	0.397	1029
270	6750	0.398	1037
271	6775	0.4	1037
272	6800	0.401	1037
273	6825	0.402	1037
274	6850	0.404	1037
275	6875	0.405	1037
276	6900	0.406	1037
277	6925	0.407	1037
278	6950	0.408	1037
279	6975	0.409	1037
280	7000	0.41	1037
281	7025	0.412	1037
282	7050	0.413	1037
283	7075	0.414	1037
284	7100	0.415	1037
285	7125	0.416	1037
286	7150	0.417	1037
287	7175	0.419	1037
288	7200	0.42	1037
289	7225	0.421	1037
290	7250	0.423	1037
291	7275	0.424	1037
292	7300	0.425	1037
293	7325	0.426	1037
294	7350	0.428	1037
295	7375	0.429	1037
296	7400	0.43	1037
297	7425	0.431	1037
298	7450	0.433	1037
299	7475	0.434	1037
300	7500	0.435	1037
301	7525	0.437	1037
302	7550	0.438	1037
303	7575	0.439	1037
304	7600	0.44	1037
305	7625	0.441	1037
306	7650	0.442	1037
307	7675	0.443	1037
308	7700	0.445	1037
309	7725	0.446	1037
310	7750	0.447	1037
311	7775	0.448	1037
312	7800	0.45	1037
313	7825	0.451	1037
314	7850	0.452	1037
315	7875	0.453	1037
316	7900	0.455	1037
317	7925	0.456	1037
318	7950	0.457	1037
319	7975	0.459	1037
320	8000	0.46	1037
321	8025	0.461	1037
322	8050	0.462	1037
323	8075	0.464	1037
324	8100	0.465	1037
325	8125	0.466	1037
326	8150	0.468	1037
327	8175	0.469	1037
328	8200	0.47	1037
329	8225	0.472	1037
330	8250	0.473	1037
331	8275	0.474	1037
332	8300	0.476	1037
333	8325	0.477	1037
334	8350	0.478	1037
335	8375	0.479	1037
336	8400	0.48	1037
337	8425	0.481	1037
338	8450	0.482	1037
339	8475	0.483	1037
340	8500	0.484	1037
341	8525	0.485	1037
342	8550	0.486	1037
343	8575	0.487	1037
344	8600	0.488	1037
345	8625	0.489	1037
346	8650	0.49	1037
347	8675	0.491	1037
348	8700	0.492	1037
349	8725	0.493	1037
350	8750	0.494	1037
351	8775	0.495	1037
352	8800	0.496	1037
353	8825	0.497	1037
354	8850	0.498	1037
355	8875	0.499	1037
356	8900	0.5	1037
357	8925	0.501	1037
358	8950	0.502	1037
359	8975	0.503	1041
360	9000	0.504	1041
361	9025	0.505	1041
362	9050	0.506	1041
363	9075	0.507	1041
364	9100	0.508	1041
365	9125	0.509	1041
366	9150	0.51	1041
367	9175	0.511	1041
368	9200	0.512	1041
369	9225	0.513	1041
370	9250	0.514	1041
371	9275	0.515	1041
372	9300	0.516	1041
373	9325	0.517	1041
374	9350	0.518	1041
375	9375	0.519	1041
376	9400	0.52	1041
377	9425	0.521	1041
378	9450	0.522	1041
379	9475	0.523	1041
380	9500	0.524	1041
381	9525	0.525	1041
382	9550	0.526	1041
383	9575	0.527	1041
384	9600	0.528	1041
385	9625	0.529	1041
386	9650	0.53	1041
387	9675	0.531	1041
388	9700	0.532	1041
389	9725	0.533	1041
390	9750	0.534	1041
391	9775	0.535	1041
392	9800	0.536	1041
393	9825	0.537	1041
394	9850	0.538	1041
395	9875	0.539	1041
396	9900	0.54	1041
397	9925	0.541	1041
398	9950	0.542	1041
399	9975	0.543	1041
400	10000	0.544	1041
401	10025	0.545	1041
402	10050	0.546	1041
403	10075	0.547	1041
404	10100	0.548	1041
405	10125	0.549	1041
406	10150	0.55	1041
407	10175	0.551	1041
408	10200	0.553	1041
409	10225	0.554	1041
410	10250	0.555	1041
411	10275	0.556	1041
412	10300	0.557	1041
413	10325	0.559	1041
414	10350	0.56	1041
415	10375	0.561	1041
416	10400	0.562	1041
417	10425	0.563	1041
418	10450	0.564	1041
419	10475	0.565	1041
420	10500	0.567	1041
421	10525	0.568	1041
422	10550	0.569	1041
423	10575	0.57	1041
424	10600	0.572	1041
425	10625	0.573	1041
426	10650	0.574	1041
427	10675	0.575	1041
428	10700	0.577	1041
429	10725	0.578	1041
430	10750	0.579	1041
431	10775	0.58	1041
432	10800	0.581	1041
433	10825	0.582	1041
434	10850	0.584	1041
435	10875	0.585	1041
436	10900	0.586	1041
437	10925	0.587	1041
438	10950	0.588	1041
439	10975	0.589	1041
440	11000	0.59	1041
441	11025	0.591	1041
442	11050	0.592	1041
443	11075	0.593	1041
444	11100	0.594	1041
445	11125	0.595	1041
446	11150	0.596	1041
447	11175	0.597	1041
448	11200	0.598	1041
449	11225	0.599	1041
