iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	25	0.001	439
2	50	0.002	439
3	75	0.005	458
4	100	0.006	458
5	125	0.01	458
6	150	0.019	458
7	175	0.035	493
8	200	0.042	496
9	225	0.054	512
10	250	0.061	512
11	275	0.066	512
12	300	0.071	512
13	325	0.075	538
14	350	0.079	538
15	375	0.083	538
16	400	0.087	538
17	425	0.093	538
18	450	0.097	538
19	475	0.1	538
20	500	0.104	538
21	525	0.108	538
22	550	0.112	538
23	575	0.116	573
24	600	0.12	573
25	625	0.124	573
26	650	0.127	573
27	675	0.131	573
28	700	0.135	573
29	725	0.139	573
30	750	0.143	573
31	775	0.146	603
32	800	0.151	603
33	825	0.155	603
34	850	0.158	603
35	875	0.162	616
36	900	0.166	616
37	925	0.169	616
38	950	0.173	616
39	975	0.177	616
40	1000	0.18	616
41	1025	0.185	616
42	1050	0.189	616
43	1075	0.192	616
44	1100	0.196	616
45	1125	0.199	616
46	1150	0.202	616
47	1175	0.206	616
48	1200	0.209	616
49	1225	0.213	616
50	1250	0.216	623
51	1275	0.219	623
52	1300	0.223	623
53	1325	0.226	623
54	1350	0.229	623
55	1375	0.233	623
56	1400	0.236	629
57	1425	0.239	629
58	1450	0.242	629
59	1475	0.246	629
60	1500	0.249	629
61	1525	0.252	629
62	1550	0.256	629
63	1575	0.259	643
64	1600	0.263	643
65	1625	0.267	643
66	1650	0.27	643
67	1675	0.274	643
68	1700	0.277	653
69	1725	0.28	653
70	1750	0.283	653
71	1775	0.286	653
72	1800	0.29	653
73	1825	0.293	653
74	1850	0.296	653
75	1875	0.299	653
76	1900	0.302	653
77	1925	0.306	653
78	1950	0.309	653
79	1975	0.313	653
80	2000	0.316	653
81	2025	0.319	653
82	2050	0.322	655
83	2075	0.326	655
84	2100	0.329	655
85	2125	0.332	655
86	2150	0.338	655
87	2175	0.342	655
88	2200	0.344	655
89	2225	0.346	655
90	2250	0.348	655
91	2275	0.349	655
92	2300	0.351	655
93	2325	0.352	655
94	2350	0.354	655
95	2375	0.356	655
96	2400	0.357	655
97	2425	0.359	655
98	2450	0.361	655
99	2475	0.362	655
100	2500	0.364	655
