iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	1	0.006	840
2	2	0.009	866
3	3	0.011	880
4	4	0.013	880
5	5	0.014	895
6	6	0.015	999
7	7	0.015	999
8	8	0.016	999
9	9	0.018	999
10	10	0.018	1025
11	11	0.019	1079
12	12	0.02	1131
13	13	0.02	1131
14	14	0.021	1131
15	15	0.022	1131
16	16	0.023	1131
17	17	0.024	1131
18	18	0.025	1131
19	19	0.026	1131
20	20	0.027	1131
21	21	0.028	1131
22	22	0.029	1131
23	23	0.029	1131
24	24	0.03	1131
25	25	0.031	1131
26	26	0.032	1131
27	27	0.033	1131
28	28	0.033	1131
29	29	0.034	1131
30	30	0.035	1131
31	31	0.036	1145
32	32	0.037	1145
33	33	0.038	1145
34	34	0.039	1145
35	35	0.04	1145
36	36	0.04	1145
37	37	0.041	1145
38	38	0.042	1145
39	39	0.042	1145
40	40	0.043	1145
41	41	0.044	1145
42	42	0.045	1145
43	43	0.045	1145
44	44	0.046	1145
45	45	0.047	1145
46	46	0.048	1145
47	47	0.048	1204
48	48	0.049	1204
49	49	0.05	1204
50	50	0.051	1204
51	51	0.051	1204
52	52	0.052	1221
53	53	0.053	1221
54	54	0.054	1221
55	55	0.054	1221
56	56	0.055	1221
57	57	0.056	1221
58	58	0.057	1221
59	59	0.057	1221
60	60	0.058	1221
61	61	0.059	1221
62	62	0.06	1221
63	63	0.06	1221
64	64	0.061	1221
65	65	0.062	1221
66	66	0.062	1221
67	67	0.063	1225
68	68	0.064	1225
69	69	0.065	1225
70	70	0.065	1225
71	71	0.066	1225
72	72	0.067	1287
73	73	0.068	1288
74	74	0.068	1288
75	75	0.069	1288
76	76	0.07	1288
77	77	0.071	1288
78	78	0.072	1288
79	79	0.073	1288
80	80	0.073	1288
81	81	0.074	1288
82	82	0.075	1288
83	83	0.076	1288
84	84	0.076	1288
85	85	0.077	1288
86	86	0.078	1288
87	87	0.079	1288
88	88	0.08	1288
89	89	0.08	1288
90	90	0.081	1288
91	91	0.082	1288
92	92	0.083	1288
93	93	0.083	1288
94	94	0.084	1288
95	95	0.085	1288
96	96	0.086	1288
97	97	0.087	1288
98	98	0.087	1288
99	99	0.088	1288
100	100	0.089	1288
