iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	1	0.0	319
2	2	0.003	319
3	3	0.006	319
4	4	0.009	335
5	5	0.014	335
6	6	0.015	347
7	7	0.016	347
8	8	0.016	347
9	9	0.017	347
10	10	0.018	347
11	11	0.018	347
12	12	0.019	382
13	13	0.02	430
14	14	0.02	430
15	15	0.021	445
16	16	0.022	445
17	17	0.023	445
18	18	0.026	445
19	19	0.027	445
20	20	0.028	445
21	21	0.029	445
22	22	0.031	445
23	23	0.033	445
24	24	0.033	445
25	25	0.034	445
26	26	0.035	445
27	27	0.036	445
28	28	0.037	445
29	29	0.038	445
30	30	0.039	448
31	31	0.039	448
32	32	0.04	448
33	33	0.041	471
34	34	0.041	471
35	35	0.042	471
36	36	0.044	481
37	37	0.045	481
38	38	0.046	481
39	39	0.046	481
40	40	0.047	481
41	41	0.048	481
42	42	0.049	481
43	43	0.052	481
44	44	0.054	481
45	45	0.061	481
46	46	0.062	481
47	47	0.064	481
48	48	0.065	481
49	49	0.065	481
50	50	0.066	481
51	51	0.067	481
52	52	0.068	481
53	53	0.068	481
54	54	0.069	481
55	55	0.07	481
56	56	0.07	481
57	57	0.071	481
58	58	0.072	481
59	59	0.072	491
60	60	0.073	491
61	61	0.074	493
62	62	0.074	493
63	63	0.075	493
64	64	0.076	493
65	65	0.077	493
66	66	0.077	493
67	67	0.078	493
68	68	0.079	493
69	69	0.079	493
70	70	0.08	493
71	71	0.081	493
72	72	0.082	493
73	73	0.084	493
74	74	0.085	493
75	75	0.086	493
76	76	0.087	493
77	77	0.093	493
78	78	0.096	493
79	79	0.097	493
80	80	0.099	493
81	81	0.1	493
82	82	0.101	493
83	83	0.101	493
84	84	0.102	493
85	85	0.103	493
86	86	0.104	493
87	87	0.104	493
88	88	0.105	493
89	89	0.106	493
90	90	0.107	493
91	91	0.108	502
92	92	0.109	502
93	93	0.11	502
94	94	0.11	502
95	95	0.111	502
96	96	0.112	503
97	97	0.113	503
98	98	0.115	503
99	99	0.116	503
100	100	0.116	503
