iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	1	0.001	289
2	2	0.003	289
3	3	0.004	289
4	4	0.005	289
5	5	0.006	340
6	6	0.007	340
7	7	0.009	363
8	8	0.01	458
9	9	0.012	476
10	10	0.013	476
11	11	0.014	476
12	12	0.016	479
13	13	0.017	479
14	14	0.018	479
15	15	0.019	479
16	16	0.02	479
17	17	0.02	479
18	18	0.021	479
19	19	0.022	479
20	20	0.023	479
21	21	0.024	483
22	22	0.025	507
23	23	0.026	507
24	24	0.026	537
25	25	0.027	537
26	26	0.028	537
27	27	0.029	537
28	28	0.03	537
29	29	0.031	537
30	30	0.033	537
31	31	0.035	537
32	32	0.036	557
33	33	0.037	557
34	34	0.038	557
35	35	0.039	557
36	36	0.04	557
37	37	0.042	557
38	38	0.043	557
39	39	0.044	557
40	40	0.044	557
41	41	0.045	557
42	42	0.047	557
43	43	0.048	557
44	44	0.049	557
45	45	0.049	557
46	46	0.05	557
47	47	0.051	557
48	48	0.052	557
49	49	0.052	566
50	50	0.053	566
51	51	0.054	566
52	52	0.055	566
53	53	0.055	566
54	54	0.056	566
55	55	0.057	566
56	56	0.058	566
57	57	0.059	566
58	58	0.06	566
59	59	0.06	566
60	60	0.061	566
61	61	0.062	566
62	62	0.063	566
63	63	0.064	566
64	64	0.064	566
65	65	0.065	566
66	66	0.066	566
67	67	0.066	566
68	68	0.067	566
69	69	0.068	566
70	70	0.068	566
71	71	0.069	566
72	72	0.07	566
73	73	0.071	566
74	74	0.072	566
75	75	0.072	566
76	76	0.073	566
77	77	0.074	566
78	78	0.074	566
79	79	0.075	566
80	80	0.076	566
81	81	0.077	566
82	82	0.077	566
83	83	0.078	566
84	84	0.079	566
85	85	0.079	566
86	86	0.08	566
87	87	0.081	566
88	88	0.081	566
89	89	0.082	566
90	90	0.083	566
91	91	0.083	566
92	92	0.084	566
93	93	0.085	566
94	94	0.085	566
95	95	0.086	566
96	96	0.087	566
97	97	0.088	566
98	98	0.088	566
99	99	0.089	566
100	100	0.09	566
101	101	0.09	566
102	102	0.091	566
103	103	0.092	566
104	104	0.093	566
105	105	0.093	566
106	106	0.094	566
107	107	0.095	566
108	108	0.096	566
109	109	0.096	566
110	110	0.097	566
111	111	0.098	566
112	112	0.099	566
113	113	0.099	585
114	114	0.1	585
115	115	0.101	585
116	116	0.101	585
117	117	0.102	585
118	118	0.103	585
119	119	0.104	585
120	120	0.105	585
121	121	0.106	585
122	122	0.106	585
123	123	0.107	585
124	124	0.108	585
125	125	0.109	585
126	126	0.109	585
127	127	0.11	585
