iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	25	0.002	464
2	50	0.004	464
3	75	0.006	479
4	100	0.008	479
5	125	0.019	479
6	150	0.049	481
7	175	0.072	481
8	200	0.091	481
9	225	0.105	512
10	250	0.117	512
11	275	0.13	512
12	300	0.144	512
13	325	0.153	512
14	350	0.164	512
15	375	0.176	512
16	400	0.186	512
17	425	0.196	512
18	450	0.206	512
19	475	0.219	512
20	500	0.226	512
21	525	0.236	535
22	550	0.246	535
23	575	0.255	535
24	600	0.266	535
25	625	0.276	535
26	650	0.286	535
27	675	0.296	535
28	700	0.307	535
29	725	0.325	535
30	750	0.335	535
31	775	0.346	535
32	800	0.356	535
33	825	0.368	535
34	850	0.379	537
35	875	0.39	537
36	900	0.399	537
37	925	0.41	537
38	950	0.421	537
39	975	0.432	537
40	1000	0.44	537
41	1025	0.449	537
42	1050	0.457	537
43	1075	0.467	537
44	1100	0.475	537
45	1125	0.484	537
46	1150	0.491	537
47	1175	0.499	551
48	1200	0.508	577
49	1225	0.518	577
50	1250	0.527	592
51	1275	0.535	592
52	1300	0.544	592
53	1325	0.553	592
54	1350	0.562	592
55	1375	0.571	592
56	1400	0.579	592
57	1425	0.587	592
58	1450	0.597	592
59	1475	0.609	592
60	1500	0.618	592
61	1525	0.628	592
62	1550	0.636	603
63	1575	0.644	603
64	1600	0.652	603
65	1625	0.66	603
66	1650	0.674	603
67	1675	0.682	603
68	1700	0.69	603
69	1725	0.699	603
70	1750	0.707	603
71	1775	0.714	603
72	1800	0.723	603
73	1825	0.731	603
74	1850	0.739	603
75	1875	0.748	603
76	1900	0.756	603
77	1925	0.765	603
78	1950	0.773	603
79	1975	0.781	603
80	2000	0.79	603
81	2025	0.798	604
82	2050	0.807	604
83	2075	0.817	604
84	2100	0.827	604
85	2125	0.831	604
86	2150	0.835	608
87	2175	0.839	608
88	2200	0.842	608
89	2225	0.846	608
90	2250	0.85	608
91	2275	0.853	608
92	2300	0.857	608
93	2325	0.861	608
94	2350	0.864	608
95	2375	0.869	610
96	2400	0.872	610
97	2425	0.876	610
98	2450	0.901	610
99	2475	0.906	610
100	2500	0.912	621
