iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	25	0.004	468
2	50	0.007	468
3	75	0.009	468
4	100	0.016	483
5	125	0.031	483
6	150	0.086	483
7	175	0.115	483
8	200	0.137	483
9	225	0.149	483
10	250	0.163	496
11	275	0.175	496
12	300	0.191	496
13	325	0.202	496
14	350	0.213	496
15	375	0.226	512
16	400	0.237	574
17	425	0.244	574
18	450	0.258	574
19	475	0.269	574
20	500	0.281	574
21	525	0.297	574
22	550	0.31	574
23	575	0.321	574
24	600	0.326	574
25	625	0.336	574
26	650	0.346	574
27	675	0.359	574
28	700	0.371	574
29	725	0.381	574
30	750	0.393	574
31	775	0.405	574
32	800	0.422	574
33	825	0.435	574
34	850	0.445	574
35	875	0.455	574
36	900	0.468	574
37	925	0.479	574
38	950	0.484	574
39	975	0.492	574
40	1000	0.498	574
41	1025	0.506	574
42	1050	0.515	574
43	1075	0.522	574
44	1100	0.529	574
45	1125	0.539	574
46	1150	0.552	574
47	1175	0.567	574
48	1200	0.58	574
49	1225	0.589	575
50	1250	0.6	575
51	1275	0.611	575
52	1300	0.623	575
53	1325	0.636	577
54	1350	0.692	577
55	1375	0.704	577
56	1400	0.719	577
57	1425	0.73	577
58	1450	0.741	580
59	1475	0.754	580
60	1500	0.764	580
61	1525	0.777	580
62	1550	0.793	580
63	1575	0.798	580
64	1600	0.803	580
65	1625	0.808	596
66	1650	0.815	596
67	1675	0.819	596
68	1700	0.825	596
69	1725	0.83	596
70	1750	0.836	596
71	1775	0.848	596
72	1800	0.853	598
73	1825	0.857	598
74	1850	0.862	598
75	1875	0.866	598
76	1900	0.871	598
77	1925	0.874	598
78	1950	0.879	598
79	1975	0.884	598
80	2000	0.889	598
81	2025	0.893	598
82	2050	0.896	598
83	2075	0.9	598
84	2100	0.905	598
85	2125	0.909	598
86	2150	0.913	598
87	2175	0.917	598
88	2200	0.921	598
89	2225	0.924	610
90	2250	0.928	610
91	2275	0.932	610
92	2300	0.941	610
93	2325	0.947	610
94	2350	0.951	610
95	2375	0.956	610
96	2400	0.96	610
97	2425	0.965	610
98	2450	0.969	610
99	2475	0.973	610
100	2500	0.976	610
101	2525	0.98	610
102	2550	0.984	610
103	2575	0.99	610
104	2600	0.999	610
105	2625	1.006	610
106	2650	1.01	610
107	2675	1.015	610
108	2700	1.018	610
109	2725	1.022	610
110	2750	1.027	610
111	2775	1.03	610
112	2800	1.037	610
113	2825	1.041	610
114	2850	1.044	610
115	2875	1.05	610
116	2900	1.055	610
117	2925	1.059	610
118	2950	1.065	610
119	2975	1.069	610
120	3000	1.072	610
121	3025	1.078	610
122	3050	1.082	610
123	3075	1.086	610
124	3100	1.089	610
125	3125	1.092	610
126	3150	1.1	610
127	3175	1.104	610
128	3200	1.108	610
129	3225	1.112	610
130	3250	1.116	610
131	3275	1.122	610
132	3300	1.127	610
133	3325	1.133	610
134	3350	1.137	610
135	3375	1.142	610
136	3400	1.148	610
137	3425	1.156	616
138	3450	1.16	616
139	3475	1.164	616
140	3500	1.168	616
141	3525	1.172	616
142	3550	1.177	616
143	3575	1.182	616
144	3600	1.186	616
145	3625	1.19	616
146	3650	1.194	616
147	3675	1.198	616
148	3700	1.201	616
149	3725	1.205	616
150	3750	1.21	616
151	3775	1.214	616
152	3800	1.218	616
153	3825	1.221	616
154	3850	1.223	616
155	3875	1.226	628
156	3900	1.229	628
157	3925	1.231	628
158	3950	1.237	628
159	3975	1.242	628
160	4000	1.247	628
161	4025	1.251	628
162	4050	1.254	628
163	4075	1.258	628
164	4100	1.262	628
165	4125	1.267	628
166	4150	1.27	628
167	4175	1.273	628
168	4200	1.278	628
169	4225	1.281	628
170	4250	1.29	628
171	4275	1.294	628
172	4300	1.299	628
173	4325	1.302	628
174	4350	1.305	628
175	4375	1.309	628
176	4400	1.311	628
177	4425	1.314	628
178	4450	1.318	628
179	4475	1.323	628
180	4500	1.327	628
181	4525	1.332	628
182	4550	1.336	628
183	4575	1.34	628
184	4600	1.344	628
185	4625	1.348	628
186	4650	1.352	628
187	4675	1.355	628
188	4700	1.36	628
189	4725	1.363	628
190	4750	1.365	628
191	4775	1.368	628
192	4800	1.371	628
193	4825	1.374	628
194	4850	1.378	628
195	4875	1.382	628
196	4900	1.385	628
197	4925	1.389	628
198	4950	1.393	628
199	4975	1.397	628
200	5000	1.401	628
201	5025	1.404	628
202	5050	1.407	628
203	5075	1.41	628
204	5100	1.415	628
205	5125	1.418	628
206	5150	1.423	628
207	5175	1.426	628
208	5200	1.429	628
209	5225	1.433	628
210	5250	1.437	628
211	5275	1.44	628
212	5300	1.443	628
213	5325	1.446	628
214	5350	1.45	628
215	5375	1.452	628
216	5400	1.456	628
217	5425	1.459	628
218	5450	1.463	628
219	5475	1.466	628
220	5500	1.47	628
221	5525	1.474	628
222	5550	1.478	628
223	5575	1.482	628
224	5600	1.487	628
225	5625	1.489	628
226	5650	1.491	628
227	5675	1.493	628
228	5700	1.495	628
229	5725	1.498	628
230	5750	1.502	628
231	5775	1.507	628
232	5800	1.512	628
233	5825	1.514	628
234	5850	1.517	628
235	5875	1.52	628
236	5900	1.526	628
237	5925	1.53	628
238	5950	1.534	628
239	5975	1.538	628
240	6000	1.542	628
241	6025	1.546	628
242	6050	1.551	628
243	6075	1.555	628
244	6100	1.562	628
245	6125	1.57	628
246	6150	1.577	628
247	6175	1.581	628
248	6200	1.589	628
249	6225	1.593	628
250	6250	1.597	628
251	6275	1.601	628
252	6300	1.604	628
253	6325	1.608	628
254	6350	1.612	628
255	6375	1.617	628
256	6400	1.621	628
257	6425	1.625	628
258	6450	1.629	628
259	6475	1.633	628
260	6500	1.636	628
261	6525	1.64	628
262	6550	1.643	628
263	6575	1.648	628
264	6600	1.652	628
265	6625	1.655	628
266	6650	1.657	628
267	6675	1.66	628
268	6700	1.663	628
269	6725	1.665	628
270	6750	1.668	628
271	6775	1.672	628
272	6800	1.674	628
273	6825	1.677	628
274	6850	1.68	628
275	6875	1.682	628
276	6900	1.685	628
277	6925	1.687	628
278	6950	1.69	628
279	6975	1.694	628
280	7000	1.696	628
281	7025	1.699	628
